,,,,,,,19,4,10,12,20,17,1,16,7,,18,,,,15,11,8,
,3,,,12,17,24,,11,2,,,,13,,5,20,22,1,,,,23,,
,7,20,,4,13,25,1,8,,3,,15,,5,9,2,,,23,,,19,,24
22,5,1,13,19,,,9,23,,4,,14,10,25,15,,,,11,,,20,18,
15,,21,10,17,,,3,12,5,,18,,,,,,4,19,25,,13,22,7,
20,,,,,,,23,21,,1,,22,,7,18,6,19,14,,24,11,4,12,17
,,,21,,10,20,14,1,3,,13,6,11,18,2,16,23,22,,,,,15,5
13,14,25,6,,,18,,,,,12,,4,21,1,3,5,,8,,,2,20,16
12,16,,8,,,5,,15,11,,,,24,,13,4,9,21,,,,18,19,14
7,,,,,2,8,4,6,12,23,,,,,,,,,,,,,9,1
,,5,,,,,,13,,,6,1,19,,3,8,7,12,15,11,24,,22,18
3,,6,1,8,,,,20,,,2,10,,13,14,9,21,11,22,,17,16,,
10,,17,16,,7,9,25,,,22,3,,,11,,5,,,,,14,13,,
21,19,4,22,15,18,11,16,2,,,25,7,14,,,10,,17,1,,,,3,
,,12,14,7,,,6,17,1,,,20,5,,19,,,16,24,9,8,,,21
5,11,10,,,,19,,,,13,4,,,2,8,15,14,,16,7,,,25,20
2,9,,20,,1,10,,,21,17,,,7,,4,22,3,,5,12,,15,23,
,15,,12,,4,23,,,20,5,16,,,,,11,1,,18,21,,24,14,
19,1,13,,23,3,12,24,,,8,10,,9,,20,17,6,,,,,,11,
,8,16,25,,,13,,,,14,21,,,,,,2,,,3,,17,10,
,,,,16,5,,12,10,,25,14,8,,19,17,,15,,20,,1,,,23
23,12,,7,13,8,,,,6,,,,2,22,21,1,10,24,9,16,3,14,,19
1,,24,5,20,15,,,,,,,,,12,25,,,2,,18,22,21,17,10
,10,,,6,19,,,,,7,15,5,16,3,12,23,11,,,,,9,,2
,,19,,9,,4,13,18,14,20,1,24,,10,,,,,,,,12,,
